Country,GDP,Percentage
Dominica,11100,66.90258061896964
Faroe Islands,40000,94.59491425192194
Cayman Islands,43800,77.4148286305847
Tonga,5600,39.96280956808385
Greenland,41800,68.51835808223451
Saint Kitts and Nevis,26800,73.98273736128237
Liechtenstein,139100,97.30676707457378
Micronesia,3400,31.671081423471147
Monaco,115700,95.01060531897537
Gibraltar,61700,94.22710572867057
Marshall Islands,3400,29.322904788097503
San Marino,58600,51.2866386379223
American Samoa,11200,33.007145076110596
Northern Mariana Islands,24500,30.614392591316992
Kiribati,2000,13.545702529011974
British Virgin Islands,34200,41.69641582179066
Anguilla,12200,79.97307894890852
Palau,16200,35.695954458494704
Cook Islands,16700,55.543595263724434
Nauru,12200,44.8983185139537
Tuvalu,3800,45.62070213536011
Saint Pierre and Miquelon,46200,81.33020061449486
Wallis and Futuna,3800,21.954944635357005
Falkland Islands (Malvinas),70800,93.80863039399625
Montserrat,34000,54.043839758125465
Saint Helena,7800,22.994379151762903
Saint Martin,19300,3.4241245136186773
Niue,5800,67.36711990111249
Tokelau,1000,62.64591439688716
